LeaderID,FamilyMemberRelationship,FamilyMemberName,FamilyMemberSex,FamilyMemberBirthString,FamilyMemberCurrentOrganization,FamilyMemberCurrentPosition,FamilyMemberDeathReported,FamilyString_2015
김일성,동생,김영주,남성,연도미상,,,,"처: 김정숙(1917～49)-정일(1942년생), 경희(1946년생)"
김정숙,남편,허담,남성,연도미상,,,사망,"남편: 허담(前 조국평화통일위원회 위원장, 사망)"
김정숙,남편,허담,남성,연도미상,,,사망,"사촌오빠: 김일성(前 국가주석, 사망)"
김정숙,사촌오빠,김일성,남성,1912.04.15,국가,주석,사망,"남편: 허담(前 조국평화통일위원회 위원장, 사망)"
김정숙,사촌오빠,김일성,남성,1912.04.15,국가,주석,사망,"사촌오빠: 김일성(前 국가주석, 사망)"
김정은,부,김정일,남성,1942.02.16,조선노동당,총비서,사망,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,부,김정일,남성,1942.02.16,조선노동당,총비서,사망,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정은,모,고영희,여성,1952.06.26,,,사망,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,모,고영희,여성,1952.06.26,,,사망,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정은,형,김정철,남성,연도미상,,,,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,형,김정철,남성,연도미상,,,,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정은,매,김여정,여성,연도미상,국무위원회,위원,,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,매,김여정,여성,연도미상,국무위원회,위원,,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정은,처,리설주,여성,연도미상,,,,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,처,리설주,여성,연도미상,,,,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정은,이복형제,김정남,남성,1971.05.10,기계공업성,상,사망,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,이복형제,김정남,남성,1971.05.10,기계공업성,상,사망,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정은,조부,김일성,남성,1912.04.15,국가,주석,사망,"모(母): 고영희(’04년 사망), 형: 김정철, 동생: 김여정"
김정은,조부,김일성,남성,1912.04.15,국가,주석,사망,"부(父): 김정일(前 당 총비서, ’11.12.17 사망)"
김정일,부,김일성,남성,1912.04.15,국가,주석,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,부,김일성,남성,1912.04.15,국가,주석,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,부,김일성,남성,1912.04.15,국가,주석,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
