LeaderID,Name,Sex,BirthYear,BirthCountry,BirthCP,BirthBCC,DeathReported,MOUID_2015,KoreanName_2015,Name_2022,NameAlternative_2022,BirthString_2015,BirthDateString_2022,BirthPlaceString_2022,DeathString_2015,DeathString_2022
김용선,김용선,미상,,,,,,,,김용선,,,연도미상,,,연도미상
김용수,김용수,남성,,,,,,,,김용수,,,연도미상,,,연도미상
김용순,김용순,남성,1934.0,한반도,평남,평원,(사망),319.0,김용순,김용순,,1934.7.5  평남 평원,1934년 07월 05일,평안남도 평원군,"당 중앙위 비서(대남 담당), 당 통일전선부 부장, 당 중앙위원, ?조평통? 부위원장, 북-일 우호친선협회 최고고문, 조선반핵평화위원회 위원장, 조선아시아태평양평화위원회 위원장, 최고인민회의 제11기 대의원",2003년 10월 26일
김용연,김용연,남성,,,,,(사망),,,김용연,김룡연,,1916년 01월 24일,량강도 혜산시,,2008년 03월 19일
김용주,김용주,미상,,,,,,,,김용주,,,연도미상,,,연도미상
김용진,김용진,남성,1953.0,,,,,380.0,김용진,김용진,,1953.2.23,1953년 02월 23일,,,연도미상
김용철,김용철,남성,,,,,,,,김용철,,,연도미상,,,연도미상
김웅철,김웅철,미상,,,,,,,,김웅철,,,연도미상,,,연도미상
김원균,김원균,남성,1917.0,한반도,평남,,(사망),302.0,김원균,김원균,,1917년생 평남,1917년,평안남도,"조선음악가동맹 중앙위원회 위원장, 조선민족음악위원회 위원장, 피바다가극단 총장, 최고인민회의 제10기 대의원",2002년 04월
김원홍,김원홍,남성,1945.0,,,,,352.0,김원홍,김원홍,,1945년,1945년,황해북도,,연도미상
김유일,김유일,남성,,,,,,,,김유일,,,연도미상,,,연도미상
김윤심,김윤심,남성,,,,,(사망),670.0,김윤심,김윤심,,,연도미상,,,연도미상
김윤혁a,김윤혁,남성,1926.0,한반도,평남,양덕,(사망),283.0,김윤혁,김윤혁,,1926년생 평남 양덕,1926년,평안남도 양덕군,"당 중앙위원, 최고인민회의 제11기 대의원",2006년 04월
김윤혁b,김윤혁,남성,,,,,,,,김윤혁,,,1957년,,,연도미상
김의순,김의순,남성,,,,,,282.0,김의순,김의순,,,1945년 08월 15일,,,연도미상
김익현,김익현,남성,1916.0,한반도,황북,,(사망),281.0,김익현,김익현,,1916년생(1921년說) 황북,1916년,황해북도,"당 중앙군사위 위원, 당 중앙위 위원, 최고인민회의 제11기 대의원",2009년 01월 15일
김인식,김인식,남성,,,,,,789.0,김인식,김인식,,1948.,1948년,,,연도미상
김일,김일,남성,,,,,(사망),,,김일,,,1910년 03월 20일,함경북도,,1984년 03월
김일국,김일국,남성,,,,,,,,김일국,,,연도미상,,,연도미상
김일성,김일성,남성,1912.0,한반도,평남,대동군,(사망),248.0,김일성,김일성,,1912.4.15 평남 대동군 고평면 남리,1912년 04월 15일,평안남도 대동군,"국가주석, 대원수, 당 정치국 상무위원, 당 총비서, 당 중앙위원, 당 군사위원회 위원장, 최고인민회의 제9기 대의원, 중앙인민위 수위",1994년 07월 08일
김일철a,김일철,남성,1930.0,한반도,평양,,,262.0,김일철,김일철,,1930년생 평양,1930년,평양시,,연도미상
김일철b,김일철,남성,,,,,,,,김일철,,,연도미상,,,연도미상
김재룡,김재룡,남성,,,,,,,,김재룡,김재용,,1959년,,,연도미상
김재성,김재성,남성,,,,,,,,김재성,,,연도미상,,,연도미상
김정각,김정각,남성,1941.0,한반도,평남,증산군,,369.0,김정각,김정각,,1941.7.20  평남 증산군,1941년 07월 20일,평안남도 증산군,,연도미상
