LeaderID,EducationDateString,EducationSchoolString,EducationMajorString,EducationGraduationStatus
한광상,연도미상,김일성고급당학교,,미상
한동근,연도미상,레닌 군사정치 아카데미,,미상
한성렬,연도미상,김일성종합대학,정치경제학,졸업
한성룡,연도미상,체코프라하공대,,미상
한성룡,연도미상,만경대혁명학원,,미상
허종,연도미상,김일성종합대학,,미상
허종,연도미상,평양외국어대학,,미상
현철해,1947.06 ~ 1950.06,루마니아공학대학,,미상
현철해,1947.01 ~ 1950.06,김일성종합대학,,미상
현철해,1947.01 ~ 1950.06,만경대혁명학원,,미상
홍서헌,연도미상,김책공업종합대학,,미상
홍석형,1948,모스크바대학교,경제학과,미상
홍석형,1948,만경대혁명학원,,졸업
홍선옥,연도미상,김일성종합대학,,미상
홍선옥,연도미상,국제관계대학,,졸업
홍성남,연도미상,김일성종합대학,,미상
홍성남,연도미상,체코프라하공대,기계공학과,미상
홍일천,연도미상,김일성종합대학,경제학부,미상
황봉영,연도미상,평양사범대학,,미상
