LeaderID,CareerDateString,CareerString
강영섭,1991.07,조국통일민주주의전선 중앙위원회 위원
강영섭,1991.03,평양신학원 원장
강영섭,1991.01,조국통일범민족연합 북측 본부 중앙위원
강영섭,1990.05,최고인민회의 통일정책위원회 위원
강영섭,1990.05,조선그리스도교연맹 중앙위원회 위원장
강영섭,1990.04,최고인민회의 제9기 대의원
강영섭,1989.05,조선종교인협의회 부회장
강영섭,1989.02,조선기독교연맹 중앙위원회 위원장
강영섭,1971.12,몰타 주재 대사
강영섭,1969.12,루마니아 주재 대사
강영섭,1969.01,내각 사무국 부국장
강영섭,연도미상,"소련 레닌그라드대, 평양신학원"
강영수,2019.04,도시경영상(유임)
강영수,2019.03,최고인민회의 제14기 대의원
강영수,2016.05,당 중앙위원회 후보위원
강영수,2014.03,최고인민회의 제13기 대의원
강영수,2013.04,도시경영상 * 전임: 황학원
강영수,2012.09,황해북도 인민위원회 위원장 * 전임: 리원일
강영수,2011.06,도시경영성 부상
강영철,2017,수산상 해임 * 후임: 송춘섭
강영철,2016.05,당 중앙위원회 후보위원
강영철,2015.05,수산상 * 전임: 리혁
강영철,2007.11,수산성 부상
강영철,1997.09,수산성 책임지도원
강영호,2010.04,인민보안부 부부장(舊 인민보안성 부상)
강영호,2002.04,인민군 상장
강영호,2000.04,인민보안성 부상
강영호,1998.09,사회안전성 부상
강영호,1998.09,최고인민회의 제 10기 대의원
강영호,1998.01,사회안전부 부부장
강영호,1995.02,조선노동당 중앙위원회 위원
강영호,1995.02,오진우 국가장의위원회 위원
강영호,1992.04,인민군 중장
강영호,1973.02,민용항공국 부국장
강윤석,연도미상 ~ 2016.06,최고인민회의 상임위원회 부장 * 전임: 허명규
강윤석,2021.09,최고인민회의 제14기 5차회의 2일 회의에서 최고인민회의 상임위원회 부위원장으로 보선
강윤석,2021.01,당 중앙검사위원회 위원
강윤석,2021.01,당 중앙위원회 위원
강윤석,2019.04,당 중앙위원회 위원
강윤석,2019.04,"중앙재판소 소장, 최고인민회의 법제위원회 위원(유임)"
강윤석,2019.03,최고인민회의 제14기 대의원
강윤석,2016.06,"중앙재판소 소장, 최고인민회의 법제위원회 위원"
강윤석,2016.05,당 중앙위원회 후보위원
강종관,2021.01,당 중앙위원회 위원
강종관,2019.12,당 중앙위원회 위원
강종관,2019.04,육해운상(유임)
강종관,2019.03,최고인민회의 제14기 대의원
강종관,2016.05,당 중앙위원회 후보위원
강종관,2014.03,최고인민회의 제13기 대의원
강종관,2012.05,육해운상 * 전임: 라동희
강종관,2007.12,서해평화협력특별지대 해주항 개발 분과위원장
강종관,2007,육해운성 항만수상운수관리국 기사장
강지영,2019.04,최고인민회의 상임위원회 위원
강지영,2019.03,최고인민회의 제14기 대의원
강지영,2016.10,조선적십자회 중앙위원회 위원장
강지영,2016.07,"조선반도의 평화와 자주통일을 위한 북, 남, 해외 제정당, 단체, 개별인사들의 연석회의 북측 준비위원회 부위원장"
강지영,2015,조선종교인협의회 회장 겸 조선카톨릭협회 중앙위원회 위원장
강지영,2014.03,최고인민회의 제13기 대의원
강지영,2012.03,조국통일범민족연합 북측 본부 의장 해임 * 후임: 최진수
강지영,2012.03,해외동포사업국 국장 해임 * 후임: 김진국
강지영,2011.10,"조국평화통일위원회 서기국 국장 * 전임: 안경호, 후임: 원동연"
강지영,2010.11,조국통일범민족연합 북측 본부 의장 * 전임: 김유호
강지영,2009.09,해외동포사업국 국장 * 전임: 김유호
강지영,2005.08,8.15 민족대축전 북측 준비위원회 종교분과 위원
강지영,2004.12,6.15공동선언실천을 위한 남·북·해외공동행사 북측 준비위원회 위원
강지영,2002.12,조선카톨릭협회 중앙위원회 부위원장
강지영,1988.05,남북 학생회담 북측 준비위원회 부위원장
강지영,연도미상,김책공업종합대학 졸업
강지영,연도미상,조선종교인협의회 상무위원
강창욱,2010.05,조선농업근로자동맹 위원장 해임 * 후임: 리명길
강창욱,2009.04,故 홍성남 국가장의위원회 위원
강창욱,2009.04,최고인민회의 상임위원회 위원
강창욱,2009.03,최고인민회의 제12기 대의원
강창욱,2009.01,최고인민회의 제12기 대의원 선거 중앙선거위원회 위원
강창욱,2008.10,故 박성철 국가장의위원회 위원
강창욱,2006.03,6.15공동선언실천 북측 위원회 부위원장
강창욱,2005.10,故 연형묵 국가장의위원회 위원
강창욱,2005.04,최고인민회의 상임위원회 위원
강창욱,2004.12,조선농업근로자동맹 중앙위원회 위원장 * 전임: 승상섭
강창욱,2003.08,최고인민회의 제11기 대의원
강창욱,2000.07,황해북도 황주군 당 위원회 책임비서
강창욱,1997.01,강원도 원산시 당 위원회 책임비서
강창욱,1986.06,개성시 방직공장 3대혁명소조 소조원
강표영,2019.03,최고인민회의 제14기 대의원
강표영,2016.06,인민무력성 부상(직제 변경)
강표영,2014.07,故 전병호 국가장의위원회 위원
강표영,2014.03,최고인민회의 제13기 대의원
강표영,2012.05,인민무력부 부부장
