342;박기서;NULL;NULL;NULL;NULL;NULL;NULL
343;박남기;1934.2.21;NULL;1934;NULL;NULL;
344;박도춘;1944.3.9 자강도 낭림군;NULL;1944;한반도;자강;낭림군
345;박태원;NULL;NULL;NULL;NULL;NULL;NULL
346;려원구;NULL;NULL;NULL;NULL;NULL;NULL
347;김형룡;NULL;NULL;NULL;NULL;NULL;NULL
348;김평해;1941.10.8 자강도 전천군;NULL;1941;한반도;자강;전천군
349;김영호;1952년생;NULL;1952;NULL;NULL;
350;김영대;1937.12.12;NULL;1937;NULL;NULL;
351;김영일;1947.3.17 평북 정주시;NULL;1947;한반도;평북;정주시
352;김원홍;1945년;NULL;1945;NULL;NULL;
353;김창식;1939년생;NULL;1939;NULL;NULL;
357;정운업;1941.12.26 평남 회창군;NULL;1941;한반도;평남;회창군
360;박승원;1946.11;NULL;1946;NULL;NULL;
361;리명수;1937년생;NULL;1937;NULL;NULL;
362;계영삼;NULL;NULL;NULL;NULL;NULL;NULL
363;리종혁;1936.10.30 강원;NULL;1936;한반도;강원;
365;곽범기;1939년생;NULL;1939;NULL;NULL;
366;최진수;1941.6.4 황남;NULL;1941;한반도;황남;
368;리하일;1935년생 양강도;NULL;1935;한반도;양강;
369;김정각;1941.7.20  평남 증산군;NULL;1941;한반도;평남;증산군
370;문명학;NULL;NULL;NULL;NULL;NULL;NULL
372;황학원;NULL;NULL;NULL;NULL;NULL;NULL
374;최익규;1933.2.26  함북 화대군;NULL;1933;한반도;함북;화대군
378;리병철;NULL;NULL;NULL;NULL;NULL;NULL
379;리룡남;NULL;NULL;NULL;NULL;NULL;NULL
380;김용진;1953.2.23;NULL;1953;NULL;NULL;
381;신선호;1948.7.5 황남;NULL;1948;한반도;황남;
383;문응조;1949.10.21;NULL;1949;NULL;NULL;
384;리용철;NULL;NULL;NULL;NULL;NULL;NULL
385;조병주;1942.12.1;NULL;1942;NULL;NULL;
387;주상성;1933.8.1 강원 문천시;NULL;1933;한반도;강원;문천시
389;최부일;NULL;NULL;NULL;NULL;NULL;NULL
393;리영호;1942.10.5 강원도 통천군;NULL;1942;한반도;강원;통천군
394;강석주;1939.8.29 평남 평원군;NULL;1939;한반도;평남;평원군
396;박명선;1943.6.15;NULL;1943;NULL;NULL;
398;최영림;1930.11.20 함북 경흥군;NULL;1930;한반도;함북;경흥군
399;최룡해;1950.1.15 황남 신천군;NULL;1950;한반도;황남;신천군
400;장재언;1936.1.20;NULL;1936;NULL;NULL;
401;한동근;1941년생;NULL;1941;NULL;NULL;
402;홍석형;1936.10.1 서울;NULL;1936;한반도;서울;
403;최창식;1940.4.11;NULL;1940;NULL;NULL;
406;조명록;1928.7.12 함북 연사;인민군 총정치국장, 국방위원회 제1부위원장, 인민군 차수, 당 정치국 상무위원, 당 중앙위 위원, 최고인민회의 제12기 대의원;1928;한반도;함북;연사
407;황병서;1949년생;NULL;1949;NULL;NULL;
408;리종옥;NULL;NULL;NULL;NULL;NULL;NULL
409;김계관;1943.1.6 평북 운산군;NULL;1943;한반도;평북;운산군
410;라동희;1934년생;NULL;1934;NULL;NULL;
412;강창욱;NULL;NULL;NULL;NULL;NULL;NULL
416;계응태;NULL;NULL;NULL;NULL;NULL;NULL
417;김기남;1929.8.28 함남 금야군;NULL;1929;한반도;함남;금야군
418;김태봉;NULL;NULL;NULL;NULL;NULL;NULL
419;오금철;1947.2.24 평양;NULL;1947;한반도;평양;
420;려춘석;1930.7 평북 정주시;NULL;1930;한반도;평북;정주시
421;오응창;NULL;NULL;NULL;NULL;NULL;NULL
422;현철해;1934년생;NULL;1934;NULL;NULL;
423;김경희;1946.5.30 평양;NULL;1946;한반도;평양;
424;박명철;1941.9.15 평북 의주군;NULL;1941;한반도;평북;의주군
426;권희경;1928.2.19 자강도 강계;당 대외정보조사부 부장;1928;한반도;자강;강계시
427;김격식;1940년생;NULL;1940;NULL;NULL;
428;김광영;NULL;NULL;NULL;NULL;NULL;NULL
429;안극태;NULL;NULL;NULL;NULL;NULL;NULL
430;강능수;1930.2.21 평양;NULL;1930;한반도;평양;
432;김영춘;1936.3.4 양강도 보천군;NULL;1936;한반도;양강;보천군
433;전길수;NULL;NULL;NULL;NULL;NULL;NULL
434;박의춘;1932.8.15;NULL;1932;NULL;NULL;
435;정명도;NULL;NULL;NULL;NULL;NULL;NULL
436;김중린;1923.12.7 자강도 우시군;당 중앙위 비서(근로단체 담당), 당 중앙위원, 최고인민회의 제12기 대의원;1923;한반도;자강;우시군
440;전병호;1926.3.20 자강도 전천군;NULL;1926;한반도;자강;전천군
441;김영일;1944.5.2;NULL;1944;NULL;NULL;
442;로두철;1944년생;NULL;1944;NULL;NULL;
447;윤정린;NULL;NULL;NULL;NULL;NULL;NULL
448;리재일;1935년생;NULL;1935;NULL;NULL;
449;김영재;1952.9.7;NULL;1952;NULL;NULL;
450;김병팔;1934.8.8 함북;NULL;1934;한반도;함북;
451;홍선옥;1950.3.28;NULL;1950;NULL;NULL;
452;박재경;1933.6.10 함북;NULL;1933;한반도;함북;
453;김명국;1940년생;NULL;1940;NULL;NULL;
454;김양건;1942.4.24 평남 안주시;NULL;1942;한반도;평남;안주시
455;정영수;NULL;NULL;NULL;NULL;NULL;NULL
456;태종수;1936.3.20 함북 명간군;NULL;1936;한반도;함북;명간군
457;로성실;1960년생;NULL;1960;NULL;NULL;
458;변영립;1929.9.20 황남 재령군;NULL;1929;한반도;황남;재령군
