277;리용무;연도미상 제2중앙정치학교 졸업;NULL;제2중앙정치학교;특수학교;북한;year_제2중앙정치학교_특수학교_북한
281;김익현;연도미상 김일성고급당학교;NULL;김일성고급당학교;특수학교;북한;year_김일성고급당학교_특수학교_북한
288;강민철;연도미상 김책공업종합대학 졸업;NULL;김책공업종합대학;대학교;북한;year_김책공업종합대학_대학교_북한
291;성자립;연도미상 만경대혁명학원 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
293;박태화;1934.~36. 보현사 불교학원;1934;불교학원;특수학교;북한;1934_불교학원_특수학교_북한
293;박태화;1955.~58. 인민경제대학;1955;인민경제대학교;대학교;북한;1955_인민경제대학교_대학교_북한
302;김원균;연도미상 일본음악학교, 소련유학;NULL;NULL;NULL;러시아;year_name_level_러시아
302;김원균;연도미상 일본음악학교, 소련유학;NULL;NULL;NULL;일본;year_name_level_일본
307;최태복;연도미상 만경대혁명학원, 김일성종합대, 라이프치히공대 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
307;최태복;연도미상 만경대혁명학원, 김일성종합대, 라이프치히공대 졸업;NULL;라이프치히공대;대학교;독일;year_라이프치히공대_대학교_독일
307;최태복;연도미상 만경대혁명학원, 김일성종합대, 라이프치히공대 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
308;최희정;연대미상 김책공업종합대학 금속가공공학과 졸업;NULL;김책공업종합대학교;대학교;북한;year_김책공업종합대학교_대학교_북한
310;채희정;연도미상 김일성종합대학, 모스크바대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
310;채희정;연도미상 김일성종합대학, 모스크바대학;NULL;모스크바대학교;대학교;러시아;year_모스크바대학교_대학교_러시아
312;박용석;연도미상 만경대혁명학원, 김일성종합대학, 소련 철도운수대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
312;박용석;연도미상 만경대혁명학원, 김일성종합대학, 소련 철도운수대학;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
312;박용석;연도미상 만경대혁명학원, 김일성종합대학, 소련 철도운수대학;NULL;철도운수대학교;대학교;러시아;year_철도운수대학교_대학교_러시아
313;박송봉;1951.~57. 루마니아 유학 연도미상 당 조직지도부, 과학교육부, 기계공업부 등 근무 1970년대 당 중앙위 부부장;1951;NULL;NULL;루마니아;1951_name_level_루마니아
313;박송봉;연도미상 만경대혁명학원;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
317;이광호;연도미상 평성이과대학 졸업;NULL;평성이과대학교;대학교;북한;year_평성이과대학교_대학교_북한
319;김용순;1948.～54. 김일성종합대학;1948;김일성종합대학교;대학교;북한;1948_김일성종합대학교_대학교_북한
319;김용순;1954.～56. 소련 모스크바대학;1954;모스크바대학교;대학교;러시아;1954_모스크바대학교_대학교_러시아
320;김완수;연도미상 김일성종합대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
325;정창렬;연도미상 평양건설건재대학 졸업, 소련유학;NULL;NULL;NULL;러시아;year_name_level_러시아
325;정창렬;연도미상 평양건설건재대학 졸업, 소련유학;NULL;평양건설건재대학교;대학교;북한;year_평양건설건재대학교_대학교_북한
328;박봉주;연도미상 덕천공업대학 졸업;NULL;덕천공업대학교;대학교;북한;year_덕천공업대학교_대학교_북한
329;리광근;연도미상 김일성종합대학 독일어과;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
333;김영주;1945. 모스크바종합대학(정경학부);1945;모스크바종합대학교;대학교;러시아;1945_모스크바종합대학교_대학교_러시아
333;김영주;1952. 모스크바고급당학교 연구반;1952;모스크바종합대학교;대학교;러시아;1952_모스크바종합대학교_대학교_러시아
334;김영철;연도미상 만경대혁명학원, 김일성군사종합대학 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
334;김영철;연도미상 만경대혁명학원, 김일성군사종합대학 졸업;NULL;모스크바고급당학교;특수학교;러시아;year_모스크바고급당학교_특수학교_러시아
338;전진수;연도미상 만경대혁명학원, 소련군사대학 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
338;전진수;연도미상 만경대혁명학원, 소련군사대학 졸업;NULL;소련군사대학교;특수학교;러시아;year_소련군사대학교_특수학교_러시아
339;전하철;연도미상 김일성종합대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
343;박남기;연도미상 김책공대, 레닌그라드공대, 체코프라하공대 졸업;NULL;김책공업종합대학;대학교;북한;year_김책공업종합대학_대학교_북한
343;박남기;연도미상 김책공대, 레닌그라드공대, 체코프라하공대 졸업;NULL;레닌그라드공대;대학교;러시아;year_레닌그라드공대_대학교_러시아
343;박남기;연도미상 김책공대, 레닌그라드공대, 체코프라하공대 졸업;NULL;체코프라하공대;대학교;체코;year_체코프라하공대_대학교_체코
344;박도춘;연도미상 김일성고급당학교 졸업;NULL;김일성고급당학교;특수학교;북한;year_김일성고급당학교_특수학교_북한
346;려원구;연도미상 모스크바대학;NULL;모스크바대학교;대학교;러시아;year_모스크바대학교_대학교_러시아
347;김형룡;연도미상 통신군관학교, 김일성군사종합대학 졸업;NULL;김일성군사종합대학교;대학교;북한;year_김일성군사종합대학교_대학교_북한
347;김형룡;연도미상 통신군관학교, 김일성군사종합대학 졸업;NULL;통신군관학교;특수학교;북한;year_통신군관학교_특수학교_북한
348;김평해;연도미상 사범대학 졸업;NULL;사범대학교;대학교;북한;year_사범대학교_대학교_북한
350;김영대;연도미상 김일성종합대학 3년 수료;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
351;김영일;연도미상 국제관계대학, 해주혁명학원, 평양외국어대학 졸업;NULL;국제관계대학교;대학교;북한;year_국제관계대학교_대학교_북한
351;김영일;연도미상 국제관계대학, 해주혁명학원, 평양외국어대학 졸업;NULL;평양외국어대학교;대학교;북한;year_평양외국어대학교_대학교_북한
351;김영일;연도미상 국제관계대학, 해주혁명학원, 평양외국어대학 졸업;NULL;해주혁명학원;특수학교;북한;year_해주혁명학원_특수학교_북한
352;김원홍;연도미상 김일성정치군사대학 졸업;NULL;김일성정치군사대학교;대학교;북한;year_김일성정치군사대학교_대학교_북한
357;정운업;연도미상 김책공업대학 전기공학과 졸업;NULL;김책공업대학교;대학교;북한;year_김책공업대학교_대학교_북한
360;박승원;연도미상 김일성군사종합대학;NULL;김일성군사종합대학교;대학교;북한;year_김일성군사종합대학교_대학교_북한
363;리종혁;연도미상 김일성종합대학, 국제관계대학 졸업;NULL;군제관계대학교;대학교;북한;year_군제관계대학교_대학교_북한
363;리종혁;연도미상 김일성종합대학, 국제관계대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
365;곽범기;연도미상희천공업대학 졸업;NULL;희천공업대학교;대학교;북한;year_희천공업대학교_대학교_북한
366;최진수;연도미상 국제관계대학 불어과 졸업;NULL;국제관계대학교;대학교;북한;year_국제관계대학교_대학교_북한
368;리하일;연도미상 만경대혁명학원, 소련군사대학 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
368;리하일;연도미상 만경대혁명학원, 소련군사대학 졸업;NULL;소련군사대학교;특수학교;러시아;year_소련군사대학교_특수학교_러시아
369;김정각;연도미상 김일성군사종합대학 졸업;NULL;김일성군사종합대학교;대학교;북한;year_김일성군사종합대학교_대학교_북한
374;최익규;연도미상 김형직사범대학 러시아어문학 졸업;NULL;김형직사범대학교;대학교;북한;year_김형직사범대학교_대학교_북한
378;리병철;연도미상 만경대혁명학원 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
380;김용진;연도미상 김형직사범대학 졸업;NULL;김형직사범대학교;대학교;북한;year_김형직사범대학교_대학교_북한
381;신선호;연도미상 김일성종합대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
385;조병주;연도미상 용성기계대학 졸업;NULL;용성기계대학교;대학교;북한;year_용성기계대학교_대학교_북한
387;주상성;연도미상 김일성군사대학;NULL;김일성군사대학교;대학교;북한;year_김일성군사대학교_대학교_북한
393;리영호;연도미상 김일성군사종합대학 졸업;NULL;김일성군사종합대학교;대학교;북한;year_김일성군사종합대학교_대학교_북한
394;강석주;연도미상평양외국어대학(영어), 국제관계대학(불어) 졸업;NULL;국제관계대학교;대학교;북한;year_국제관계대학교_대학교_북한
394;강석주;연도미상평양외국어대학(영어), 국제관계대학(불어) 졸업;NULL;평양외국어대학교;대학교;북한;year_평양외국어대학교_대학교_북한
398;최영림;연도미상 만경대혁명학원, 김일성종합대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
398;최영림;연도미상 만경대혁명학원, 김일성종합대학 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
399;최룡해;연도미상 만경대혁명학원, 김일성종합대학 정치경제학부 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
399;최룡해;연도미상 만경대혁명학원, 김일성종합대학 정치경제학부 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
400;장재언;연도미상 김책공업대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
401;한동근;연도미상 레닌 군사정치아카데미, 만경대혁명학원 졸업;NULL;군사정치아카데미;대학교;북한;year_군사정치아카데미_대학교_북한
401;한동근;연도미상 레닌 군사정치아카데미, 만경대혁명학원 졸업;NULL;만경대혁명학원;대학교;북한;year_만경대혁명학원_대학교_북한
402;홍석형;1948. 월북, 만경대혁명학원, 모스크바대 경제학과 졸업;1948;만경대혁명학원;대학교;북한;1948_만경대혁명학원_대학교_북한
402;홍석형;1948. 월북, 만경대혁명학원, 모스크바대 경제학과 졸업;NULL;모스크바대학교;대학교;러시아;year_모스크바대학교_대학교_러시아
403;최창식;연도미상 평양의과대학 임상약리학과 졸업;NULL;평양의과대학교;대학교;북한;year_평양의과대학교_대학교_북한
406;조명록;1945이전 만주 비행학교, 만경대혁명학원;1945;비행학교;대학교;북한;1945_비행학교_대학교_북한
406;조명록;1950.～52. 러시아 공군대학 유학, 귀국;1950;공군대학교;대학교;러시아;1950_공군대학교_대학교_러시아
406;조명록;1945이전 만주 비행학교, 만경대혁명학원;NULL;만경대혁명학원;대학교;북한;year_만경대혁명학원_대학교_북한
406;조명록;연도미상 중앙당학교;NULL;중앙당학교;대학교;북한;year_중앙당학교_대학교_북한
409;김계관;연도미상 평양외국어대학, 평양국제관계대학;NULL;평양국제관계대학교;대학교;북한;year_평양국제관계대학교_대학교_북한
409;김계관;연도미상 평양외국어대학, 평양국제관계대학;NULL;평양외국어대학교;대학교;북한;year_평양외국어대학교_대학교_북한
416;계응태;1948. 소련고급당학교;1948;고급당학교;대학교;러시아;1948_고급당학교_대학교_러시아
416;계응태;연도미상 남만주대학;NULL;남만주대학교;대학교;북한;year_남만주대학교_대학교_북한
417;김기남;연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
417;김기남;연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학;NULL;만경대혁명학원;대학교;북한;year_만경대혁명학원_대학교_북한
417;김기남;연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학;NULL;모스크바국제대학교;대학교;러시아;year_모스크바국제대학교_대학교_러시아
418;김태봉;연도미상 김책공업종합대학 졸업;NULL;김책공업종합대학;대학교;북한;year_김책공업종합대학_대학교_북한
419;오금철;연도미상 만경대혁명학원, 김책공군대학, 소련공군아카데미 졸업;NULL;김책공군대학교;대학교;북한;year_김책공군대학교_대학교_북한
419;오금철;연도미상 만경대혁명학원, 김책공군대학, 소련공군아카데미 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
419;오금철;연도미상 만경대혁명학원, 김책공군대학, 소련공군아카데미 졸업;NULL;소련공군아카데미;대학교;러시아;year_소련공군아카데미_대학교_러시아
420;려춘석;연도미상 김일성군사종합대학 졸업;NULL;김일성군사종합대학교;대학교;북한;year_김일성군사종합대학교_대학교_북한
422;현철해;1947. 1 만경대혁명학원, 김일성종합대, 루마니아공학대 졸업;1947;만경대혁명학원;특수학교;북한;1947_만경대혁명학원_특수학교_북한
422;현철해;연도미상 루마니아 유학;NULL;NULL;NULL;루마니아;year_name_level_루마니아
422;현철해;1947. 1 만경대혁명학원, 김일성종합대, 루마니아공학대 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
422;현철해;1947. 1 만경대혁명학원, 김일성종합대, 루마니아공학대 졸업;NULL;루마니아공학대학교;대학교;루마니아;year_루마니아공학대학교_대학교_루마니아
