357;정운업;NULL;6.15공동선언실천 북측위원회 부위원장, 前 민족경제협력위원회 위원장
360;박승원;NULL;인민군 상장, 당 중앙위 위원, 최고인민회의 제12기 대의원
361;리명수;2356;최고인민회의 제12기 대의원
362;계영삼;NULL;당 중앙검사위 위원, 최고인민회의 제12기 대의원 겸 예산위원회 위원
363;리종혁;NULL;조선아시아태평양평화위원회 부위원장, 조국통일연구원 원장,  최고인민회의 제12기 대의원, 조선-독일?영국?이탈리아?유럽동맹 친선의원단 위원장
365;곽범기;NULL;당 중앙위 비서 겸 부장, 당 정치국 후보위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
366;최진수;NULL;조국통일범민족연합 북측본부 의장, 조국통일민주주의전선 중앙위원회 공동의장, 최고인민회의 제12기 대의원
368;리하일;NULL;인민군 차수
369;김정각;NULL;김일성군사종합대학 총장, 당 정치국 위원, 당 중앙군사위 위원, 인민군 차수, 당 중앙위 위원, 최고인민회의 제12기 대의원
370;문명학;NULL;석탄공업상, 최고인민회의 제12기 대의원 겸 예산위원회 위원
372;황학원;NULL;당 중앙위 후보위원, 최고인민회의 제12기 대의원
374;최익규;NULL;최고인민회의 제12기 대의원, 前 당 선전선동부 부장 겸 국가영화위원회 위원장
378;리병철;NULL;인민군 공군사령부 사령관, 당 중앙군사위 위원, 당 중앙위 위원, 인민군 대장, 최고인민회의 제12기 대의원
379;리룡남;NULL;무역상, 당 중앙위 위원, 최고인민회의 제12기 대의원, 북-시리아 친선협회 위원장
380;김용진;NULL;내각 부총리, 당 중앙위 위원, 최고인민회의 제12기 대의원, 북-쿠바 단결위원회 위원장, 북-이집트 친선협회 위원장
381;신선호;NULL;유엔주재 상임대표, 캐나다 주재 대사, 최고인민회의 제12기 대의원
383;문응조;NULL;수매양정상, 최고인민회의 제12기 대의원, 국가비상방역위원회 부위원장
385;조병주;NULL;내각 부총리, 당 중앙위 위원, 최고인민회의 제12기 대의원
387;주상성;NULL;인민군 대장, 당 중앙위 위원, 최고인민회의 제12기 대의원, 前 인민보안부장
389;최부일;NULL;인민보안부장, 국방위원회 위원
393;리영호;NULL;인민군 총참모장, 당 정치국 상무위원, 당 중앙군사위 부위원장, 당 중앙위 위원, 인민군 차수, 최고인민회의 제12기 대의원
394;강석주;NULL;내각 부총리, 당 정치국 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
396;박명선;NULL;인민봉사총국 총국장, 최고인민회의 제12기 대의원
398;최영림;NULL;최고인민회의 상임위 명예부위원장, 당 정치국 상무위원, 당 정치국 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원, 국가비상방역위원회 위원장
399;최룡해;NULL;인민군 총정치국장, 당 정치국 상무위원, 당 중앙군사위 부위원장, 국방위원회 위원, 당 중앙위 위원, 인민군 차수, 최고인민회의 제12기 대의원
400;장재언;NULL;조선카톨릭교협회 중앙위원회 위원장, 조선종교인협의회 회장, ?범민련? 북측본부 부의장, 6.15공동선언실천 남북공동위원회 부위원장, 최고인민회의 제12기 대의원
401;한동근;NULL;인민군 총정치국 부국장, 인민군 상장, 당 중앙위 위원, 최고인민회의 제12기 대의원
402;홍석형;NULL;당 중앙위 위원, 최고인민회의 제12기 대의원, 前 당 중앙위 비서 겸 당 계획재정부 부장
403;최창식;NULL;최고인민회의 제12기 대의원, 북-중 친선협회 위원장, 조선금연위원회 위원장, 조선장애자보호연맹 중앙위원회 위원장, 국가비상방역위원회 부위원장
407;황병서;NULL;당 조직지도부 부부장, 당 중앙위 후보위원, 인민군 상장
409;김계관;NULL;외무성 제1부상, 당 중앙위 후보위원, 최고인민회의 제12기 대의원
410;라동희;NULL;최고인민회의 제12기 대의원, 前 육해운상
412;강창욱;NULL;최고인민회의 제12기 대의원, 6.15공동선언실천 북측위원회 부위원장
417;김기남;NULL;당 중앙위 비서, 당 선전선동부 부장, 당 정치국 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원, 조국평화통일위원회   부위원장, 6.15공동선언실천 북측위원회 명예위원장
418;김태봉;NULL;당 중앙위 위원, 최고인민회의 제12기 대의원, 前 금속공업상
419;오금철;NULL;인민군 총참모부 부총참모장, 인민군 상장, 당 중앙위 위원
420;려춘석;NULL;김일성군사종합대학 총장, 인민군 대장, 당 중앙위 위원, 최고인민회의 제12기 대의원
421;오응창;2356;최고인민회의 제12기 대의원
422;현철해;NULL;당 정치국 위원, 당 중앙군사위원회 위원, 인민군 차수, 당 중앙위원회 위원, 최고인민회의 제12기 대의원
423;김경희;NULL;당 중앙위 비서, 당 정치국 위원, 당 중앙위 위원, 인민군 대장, 최고인민회의 제12기 대의원
424;박명철;NULL;체육상, 당 중앙위 위원, 최고인민회의 제12기 대의원, 조선올림픽위원회 위원장
427;김격식;NULL;당 정치국 후보위원, 국방위원회 위원
428;김광영;NULL;임업상, 최고인민회의 제12기 대의원
429;안극태;NULL;평안남도 인민위원회 위원장, 최고인민회의 제12기 대의원
430;강능수;NULL;내각 부총리, 당 중앙위 위원, 최고인민회의 제12기 대의원
432;김영춘;NULL;국방위원회 부위원장, 인민군 차수, 당 정치국 위원, 당 중앙위 부장, 당 중앙군사위 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
433;전길수;NULL;철도상, 당 중앙위 위원, 최고인민회의 제12기 대의원
434;박의춘;NULL;외무상, 당 중앙위 위원, 최고인민회의 제12기 대의원
435;정명도;NULL;인민군 대장, 당 중앙군사위 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
440;전병호;NULL;당 정치국 위원, 당 중앙위 위원, 내각 정치국 국장 겸 당 책임비서, 최고인민회의 제12기 대의원
441;김영일;NULL;최고인민회의 제12기 대의원, 前 내각 총리
442;로두철;NULL;내각 부총리 겸 국가계획위원장, 당 정치국 후보위원, 당 중앙위 위원, 최고인민회의 제12기 대의원, 조선국제합영총회사 이사장
447;윤정린;NULL;호위사령관, 당 중앙군사위 위원, 당 중앙위 위원, 인민군 대장, 최고인민회의 제12기 대의원
448;리재일;NULL;당 선전선동부 제1부부장, 당 중앙위 후보위원, 최고인민회의 제12기 대의원
449;김영재;NULL;러시아 주재 대사, 몰도바?벨로루시?아르메니아?우크라이나?카자흐스탄?투르크메니스탄 주재 대사(겸임), 당 중앙위 후보위원, 최고인민회의 제12기 대의원
450;김병팔;NULL;최고인민회의 제12기 대의원, 前 ?직총? 위원장
451;홍선옥;NULL;최고인민회의 상임위 서기장, 최고인민회의 부의장, 조선대외문화연락위 부위원장, 조선일본군위안부 및 강제연행피해자보상대책위원회 위원장, 일본의 과거청산을 요구하는 국제연대협의회 조선위원회 위원장, 최고인민회의 제12기 대의원, 북-스위스?오스트리아 친선협회 위원장, 북-폴란드 친선협회 부위원장, 6.15공동선언실천 북측위원
452;박재경;NULL;인민군 총정치국 부국장, 인민군 대장, 당 중앙위 위원, 최고인민회의 제12기 대의원
453;김명국;NULL;인민군 총참모부 작전국장, 인민군 대장, 당 중앙군사위 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
454;김양건;NULL;당 중앙위 비서, 당 통일전선부장, 당 정치국 후보위원,
454;김양건;NULL;당 중앙위 위원, 조선아시아태평양평화위원회 위원장, 조선대풍국제투자그룹 이사장, 최고인민회의 제12기 대의원 겸 상임위원회 위원
455;정영수;NULL;노동상, 최고인민회의 제12기 대의원, 북-이란 친선협회 위원장
456;태종수;NULL;함경남도 당 책임비서, 당 정치국 후보위원, 당 중앙위 위원
457;로성실;NULL;조선민주여성동맹 중앙위원회 위원장, 당 중앙위 후보위원, 최고인민회의 제12기 대의원 겸 상임위원회 위원
458;변영립;NULL;당 정치국 위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
460;김태종;NULL;국제문제연구소 부소장, 前 당 국제부 부부장
461;김히택;NULL;양강도 당위원회 책임비서, 당 중앙위 위원
462;우동측;NULL;국가안전보위부 제1부부장, 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원, 인민군 대장, 최고인민회의 제12기 대의원
463;원동연;NULL;당 통일전선부 부부장, 조선아시아태평양평화위원회 부위원장, ?조평통? 서기국 부장, 조국통일연구원 부원장
464;안경호;NULL;당 통일전선부 부부장, 조국평화통일위원회 부위원장, 최고인민회의 제12기 대의원
465;량만길;NULL;평양시 인민위원회 위원장, 당 중앙위 위원, 북-라오스 친선협회 위원장
481;태형철;NULL;김일성종합대학 총장 겸 교육위원회 고등교육상, 사회과학원 원장, 당 중앙위 후보위원, 최고인민회의 제12기 대의원
495;김경옥;NULL;당 중앙위 제1부부장, 당 중앙군사위 위원, 당 중앙위 위원, 인민군 대장, 최고인민회의 제12기 대의원
496;김정은;NULL;조선노동당 제1비서, 국방위원회 제1위원장, 당 정치국 상무위원, 당 중앙군사위 위원장, 인민군 최고사령관, 당 중앙위 위원, 인민군 대장
498;문경덕;NULL;당 중앙위 비서 겸 평양시 당위원회 책임비서, 당 정치국 후보위원, 당 중앙위 위원
500;전일춘;NULL;당 중앙위 제1부부장, 국가개발은행 이사장, 최고인민회의 제12기 대의원
501;리영수;NULL;당 중앙위 부장, 당 중앙위 위원
502;오일정;NULL;당 중앙위 부장, 당 중앙위 위원, 인민군 상장
503;김철;NULL;양강도 인민위원회 위원장, 당 중앙검사위 위원, 최고인민회의 제12기 대의원
504;안정수;NULL;경공업상, 당 중앙위 위원, 최고인민회의 제12기 대의원
505;리자방;NULL;국가과학기술위원회 위원장, 조선과학기술총연맹 위원장
506;장철;NULL;국가과학원장, 당 중앙위 위원, 최고인민회의 제12기 대의원
507;박태덕;NULL;황해북도 당위원회 책임비서, 최고인민회의 제12기 대의원 겸 법제위원회 위원, 당 중앙위 위원
508;백계룡;NULL;당 경공업 부장
509;조영철;NULL;식료일용공업상, 당 중앙위 후보위원, 최고인민회의 제12기 대의원, 조선옷협회 회장
511;류현식;NULL;당 중앙검사위원회 위원, 前 함경남도 인민위원회 위원장
512;리명길;NULL;조선농업근로자동맹 중앙위 위원장, 당 중앙위 후보위원, 최고인민회의 상임위원회 위원
513;리용호;NULL;외무성 부상, 당 중앙위 후보위원
514;장병규;NULL;최고검찰소 소장, 당 중앙위 위원, 최고인민회의 제12기 대의원 겸 법제위원회 위원장
515;한광상;NULL;당 부장
516;한흥표;NULL;당 중앙위 후보위원, 前 함경북도 인민위원회 위원장
517;현상주;NULL;조선직업총동맹 중앙위 위원장, 당 중앙위 후보위원, 최고인민회의 상임위원회 위원, 북-인도 친선협회 위원장
518;홍인범;NULL;평안남도 당위원회 책임비서, 당 중앙위 위원
519;이철리;NULL;당 중앙위 후보위원, 최고인민회의 제12기 대의원, 前 스위스 주재 대사
520;김창섭;NULL;국가안전보위부 정치국장, 당 정치국 후보위원, 당 중앙위 위원, 최고인민회의 제12기 대의원
521;홍창일;NULL;前 독일 주재 대사
541;강영호;NULL;인민보안부 부부장, 인민군 상장
542;강련학;NULL;민족화해협의회 부회장, 조국통일민주주의전선 공동의장, 최고인민회의 제12기 대의원
543;백용호;NULL;조선적십자회 중앙위원회 부위원장, 조선대외문화연락위원회 부위원장, 세계인민들과의 연대성 조선위원회 부위원장, 조선평화옹호전국민족위원회 부위원장, 북-베네수엘라?리비아?쿠웨이트 친선협회 위원장, 북-쿠바 단결위원회 부위원장
544;리만건;NULL;평안북도 당위원회 책임비서, 당 중앙위 위원
545;주영식;NULL;당 중앙위 위원, 前 자강도 당위원회 책임비서
546;최경성;NULL;당 중앙군사위 위원, 당 중앙위 위원, 인민군 상장
547;최상려;NULL;당 중앙군사위 위원, 당 중앙위 위원, 인민군 상장
561;지재룡;NULL;중국 주재 대사, 당 중앙위 후보위원
601;리용선;NULL;조선권투협회 위원장
602;리용철;NULL;당 중앙위 위원, 최고인민회의 제12기 대의원 겸 상임위원회 위원
603;리원일;NULL;황해북도 인민위원회 위원장, 최고인민회의 제12기 대의원
604;리제선;NULL;원자력총국 총국장, 당 중앙위 후보위원, 최고인민회의 제12기 대의원
606;리주오;NULL;내각사무국 부부장, 최고인민회의 제12기 대의원, 前 경공업상
607;리찬복;NULL;인민군 상장, 최고인민회의 제12기 대의원
608;림경숙;NULL;상업성 부상
609;자성남;NULL;룩셈부르크 주재 대사
610;장우영;NULL;前 명승지종합개발지도국 총국장
611;장웅;NULL;체육성 제1부상, 조선올림픽위원회 부위원장, 국제올림픽위원회(IOC) 위원, 국제태권도연맹(IT) 총재, 최고인민회의 제12기 대의원, 국제무도경기위원회 명예위원장
612;장윤곤;NULL;국제문제연구소 소장
613;장혜명;NULL;조선작가동맹 중앙위원회 부위원장
614;전승훈;NULL;금속공업상, 최고인민회의 제12기 대의원
615;전영진;NULL;쿠바 주재 대사, 북-필리핀?인도네시아?네팔?미얀마?베트남?몽골?스페인?포르투갈?터키 친선협회 위원장, 북-중국?말레이시아?라오스?이란?캄보디아 친선협회 부위원장
616;전재선;NULL;인민군 차수
617;전종수;NULL;조국평화통일위원회 서기국 부국장
618;정덕기;NULL;민족화해협의회 부회장, 조국평화통일위원회 서기국 책임참사, ?범민련? 북측본부 부의장, 6.15 공동선언 실천 북측위원회 부위원장
619;정명학;NULL;당 검열위원회 제1부위원장, 당 중앙위 후보위원, 최고인민회의 제12기 대의원
620;정연과;NULL;최고인민회의 제12기 대의원, 前 식료일용공업상
621;정태양;NULL;우간다?부룬디?르완다?케냐 주재 대사
622;정하철;NULL;前 당 중앙위 비서
623;정호균;NULL;인민군 대장, 당 중앙위 위원
