MOUID,KoreanName,CareerStringID,CareerString,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
258,리을설,936,"1979. 8 인민군 5군단장",1979,8,1,NULL,"인민군 총참모부",5군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_5군단_NA_NA_군단장"
258,리을설,939,"1983. 8 평양방어사령부 사령관",1983,8,1,NULL,"인민군 총참모부",평양방어사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_평양방어사령부_NA_NA_사령관"
262,김일철,954,"1971. 해군사령부 참모장",1971,NULL,1,NULL,"인민군 총참모부",해군사령부,NA,NA,NA,참모장,2,3,"인민군 총참모부_해군사령부_NA_NA_참모장"
262,김일철,955,"1974. 해군사령부 부사령관",1974,NULL,1,NULL,"인민군 총참모부",해군사령부,NA,NA,NA,부사령관,2,2,"인민군 총참모부_해군사령부_NA_NA_부사령관"
262,김일철,956,"1982. 6 인민군 중장, 해군사령관",1982,6,1,Joint,"인민군 총참모부",해군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_해군사령부_NA_NA_사령관"
275,백학림,1026,"1950. 6 인민군 제46연대 연대장",1950,6,1,NULL,"인민군 총참모부",X군단,X사단,46연대,NA,연대장,4,1,"인민군 총참모부_X군단_X사단_46연대_연대장"
275,백학림,1027,"1951. 4 인민군 제8사단 제81연대 연대장",1951,4,1,NULL,"인민군 총참모부",2군단,8사단,81연대,NA,연대장,4,1,"인민군 총참모부_2군단_8사단_81연대_연대장"
275,백학림,1028,"1958. 5 인민군 소장, 인민군 제3사단장",1958,5,1,Joint,"인민군 총참모부",2군단,3사단,NA,NA,사단장,3,1,"인민군 총참모부_2군단_3사단_NA_사단장"
281,김익현,1082,"1951. 1 인민군 제2사단 제1연대장",1951,1,1,NULL,"인민군 총참모부",1군단,2사단,1연대,NA,연대장,4,1,"인민군 총참모부_1군단_2사단_1연대_연대장"
281,김익현,1084,"1972. 2 인민군 중장, 4군단장",1972,2,1,Joint,"인민군 총참모부",4군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_4군단_NA_NA_군단장"
281,김익현,1086,"1975. 3 인민군 부총참모장",1975,3,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
325,정창렬,1309,"1984. 1 인민군 부총참모장",1984,1,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
326,박성철,1317,"1948. 인민군 제3사단 참모장(대좌)",1948,NULL,1,NULL,"인민군 총참모부",2군단,3사단,NA,NA,참모장,3,3,"인민군 총참모부_2군단_3사단_NA_참모장"
326,박성철,1318,"1950. 3 인민군 제15사단장",1950,3,1,NULL,"인민군 총참모부",X군단,15사단,NA,NA,사단장,3,1,"인민군 총참모부_X군단_15사단_NA_사단장"
334,김영철,1415,"1962. 인민군 15사단 DMZ 민경중대 근무",1962,NULL,1,NULL,"인민군 총참모부",X군단,15사단,"DMZ 민경중대",NA,근무,4,3,"인민군 총참모부_X군단_15사단_DMZ 민경중대_근무"
338,전진수,1437,"1994.10 인민군 4군단장",1994,10,1,NULL,"인민군 총참모부",4군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_4군단_NA_NA_군단장"
342,박기서,1464,"1986.11 최고인민회의 제8기 대의원, 820전차군단장",1986,11,1,Joint,"인민군 총참모부",X기계화군단,820전차군단,NA,NA,전차군단장,3,1,"인민군 총참모부_X기계화군단_820전차군단_NA_전차군단장"
347,김형룡,1517,"2003. 7 인민군 상장, 인민군 제9군단장",2003,7,1,Joint,"인민군 총참모부",9군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_9군단_NA_NA_군단장"
360,박승원,1584,"1995. 3 인민군 총참모부 부총참모장",1995,3,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
361,리명수,1590,"1993.12 인민군 3군단 참모장",1993,12,1,NULL,"인민군 총참모부",3군단,NA,NA,NA,참모장,2,3,"인민군 총참모부_3군단_NA_NA_참모장"
361,리명수,1592,"1996.11 인민군 총참모부 부총참모장",1996,11,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
368,리하일,1645,"1975. 인민군 제525부대 사령관",1975,NULL,1,NULL,"인민군 총참모부",X군단,X사단,X연대,제525부대,사령관,5,1,"인민군 총참모부_X군단_X사단_X연대_사령관"
368,리하일,1648,"1979. 인민군 8군단장",1979,NULL,1,NULL,"인민군 총참모부",8군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_8군단_NA_NA_군단장"
378,리병철,1692,"2008. 4 인민군 공군사령부 사령관, 인민군 상장",2008,4,1,Joint,"인민군 총참모부",공군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_공군사령부_NA_NA_사령관"
387,주상성,1738,"1997. 2  4군단장",1997,2,1,NULL,"인민군 총참모부",4군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_4군단_NA_NA_군단장"
393,리영호,1752,"2003. 9 평양방어사령관, 인민군 상장",2003,9,1,Joint,"인민군 총참모부",평양방어사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_평양방어사령부_NA_NA_사령관"
393,리영호,1754,"2009. 2 인민군 총참모장, 인민군 대장",2009,2,1,Joint,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
406,조명록,1877,"1975.  반항공사령관",1975,NULL,1,NULL,"인민군 총참모부",반항공군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_반항공군사령부_NA_NA_사령관"
406,조명록,1879,"1980.10 당 중앙위 위원, 군사위 위원, 공군사령관",1980,10,1,Joint,"인민군 총참모부",공군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_공군사령부_NA_NA_사령관"
419,오금철,2001,"1984. 공군 제7사단 참모장(상좌)",1984,NULL,1,NULL,"인민군 총참모부",공군사령부,7사단,NA,NA,참모장,3,3,"인민군 총참모부_공군사령부_7사단_NA_참모장"
419,오금철,2005,"1992. 4 공군사령부 부사령관, 인민군 중장, 최고인민회의 제9기 대의원",1992,4,1,Joint,"인민군 총참모부",공군사령부,NA,NA,NA,부사령관,2,2,"인민군 총참모부_공군사령부_NA_NA_부사령관"
419,오금철,2007,"1995.10 공군사령부 사령관, 인민군 상장",1995,10,1,Joint,"인민군 총참모부",공군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_공군사령부_NA_NA_사령관"
420,려춘석,2011,"1975. 9 인민군 5군단 참모장, 인민군 소장",1975,9,1,Joint,"인민군 총참모부",5군단,NA,NA,NA,참모장,2,3,"인민군 총참모부_5군단_NA_NA_참모장"
420,려춘석,2012,"1984.12 인민군 4군단장, 인민군 중장",1984,12,1,Joint,"인민군 총참모부",4군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_4군단_NA_NA_군단장"
420,려춘석,2013,"1994.10 인민군 7군단장",1994,10,1,NULL,"인민군 총참모부",7군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_7군단_NA_NA_군단장"
422,현철해,2022,"1970. 6  4군단 정치부장 재기용, 인민군 소장",1970,6,1,Joint,"인민군 총참모부",4군단,NA,NA,NA,정치부장,2,1,"인민군 총참모부_4군단_NA_NA_정치부장"
427,김격식,2080,"1994.10 인민군 2군단장",1994,10,1,NULL,"인민군 총참모부",2군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_2군단_NA_NA_군단장"
