LeaderID,CareerDateString_2022,CareerString_2022,MOUID_2015,Name,CareerStringID_2015,CareerString_2015,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
강관주,연도미상,前 조국평화통일위원회 부위원장,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,연도미상,前 당 중앙위원회 후보위원,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,연도미상,前 당 중앙위원회 후보위원,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강능수,2015.07,사망(85세),430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2014.04,내각 부총리 해임,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2014.03,최고인민회의 제13기 대의원,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2011.12,故 김정일 국가장의위원회 위원,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2010.09,당 중앙위원회 위원,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2010.08,국가영화위원회 위원장 해임 * 후임: 홍광순,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2010.06,내각 부총리,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
