LeaderID,EducationDateString_2022,EducationSchoolString_2022,EducationMajorString_2022,EducationGraduationStatus_2022,MOUID_2015,Name_2015,EducationString_2015,SchoolYear_2015,SchoolName_2015,SchoolLevel_2015,SchoolRegion_2015,SchoolStringConcat_2015
김시학,연도미상,체코프라하공대,,미상,660,김시학,"연도미상 체코프라하공대, 만경대혁명학원, 모스크바종합대",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김시학,연도미상,체코프라하공대,,미상,660,김시학,"연도미상 체코프라하공대, 만경대혁명학원, 모스크바종합대",,모스크바종합대학교,대학교,러시아,year_모스크바종합대학교_대학교_러시아
김시학,연도미상,체코프라하공대,,미상,660,김시학,"연도미상 체코프라하공대, 만경대혁명학원, 모스크바종합대",,체코프라하공대,대학교,체코,year_체코프라하공대_대학교_체코
김양건,연도미상,김일성종합대학,불어과,미상,454,김양건,연도미상 김일성종합대학 불어과 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김양점,연도미상,김일성군사종합대학교,,미상,662,김양점,연도미상 김일성군사종합대학 졸업,,김일성군사종합대학교,대학교,북한,year_김일성군사종합대학교_대학교_북한
김여정,연도미상,김일성종합대학,특설반,졸업,,1948_name_특수학교_,,,,,,
김영남,연도미상,김일성종합대학,,미상,115,김영남,1953. 모스크바대학(외교학 전공),1953,모스크바대학,대학교,러시아,1953_모스크바대학_대학교_러시아
김영남,연도미상,김일성종합대학,,미상,115,김영남,연도미상 김일성종합대학 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김영남,1953,모스크바대학교,외교학,미상,115,김영남,1953. 모스크바대학(외교학 전공),1953,모스크바대학,대학교,러시아,1953_모스크바대학_대학교_러시아
김영남,1953,모스크바대학교,외교학,미상,115,김영남,연도미상 김일성종합대학 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김영대,연도미상,김일성종합대학,,기타,350,김영대,연도미상 김일성종합대학 3년 수료,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김영숙,연도미상,인민경제대학,,미상,664,김영숙,연도미상 인민경제대학 졸업,,인민경제대학교,대학교,북한,year_인민경제대학교_대학교_북한
김영일a,연도미상,국제관계대학,,미상,351,김영일,"연도미상 국제관계대학, 해주혁명학원, 평양외국어대학 졸업",,국제관계대학교,대학교,북한,year_국제관계대학교_대학교_북한
김영일a,연도미상,국제관계대학,,미상,351,김영일,"연도미상 국제관계대학, 해주혁명학원, 평양외국어대학 졸업",,평양외국어대학교,대학교,북한,year_평양외국어대학교_대학교_북한
김영일a,연도미상,국제관계대학,,미상,351,김영일,"연도미상 국제관계대학, 해주혁명학원, 평양외국어대학 졸업",,해주혁명학원,특수학교,북한,year_해주혁명학원_특수학교_북한
김영일b,연도미상,나진해운대학,,미상,441,김영일,연도미상  함경북도 나진해운대학 졸업,,나진해운대학교,대학교,북한,year_나진해운대학교_대학교_북한
김영재,연도미상,김일성종합대학,영어과,미상,449,김영재,연도미상 김일성종합대학 외문학부 영어과 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김영주,연도미상,모스크바대학교,정경학부,미상,333,김영주,1945. 모스크바종합대학(정경학부),1945,모스크바종합대학교,대학교,러시아,1945_모스크바종합대학교_대학교_러시아
김영주,연도미상,모스크바대학교,정경학부,미상,333,김영주,1952. 모스크바고급당학교 연구반,1952,모스크바종합대학교,대학교,러시아,1952_모스크바종합대학교_대학교_러시아
김영주,연도미상,모스크바고급당학교,연구반,미상,333,김영주,1945. 모스크바종합대학(정경학부),1945,모스크바종합대학교,대학교,러시아,1945_모스크바종합대학교_대학교_러시아
김영주,연도미상,모스크바고급당학교,연구반,미상,333,김영주,1952. 모스크바고급당학교 연구반,1952,모스크바종합대학교,대학교,러시아,1952_모스크바종합대학교_대학교_러시아
김영철a,연도미상,만경대혁명학원,,졸업,334,김영철,"연도미상 만경대혁명학원, 김일성군사종합대학 졸업",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김영철a,연도미상,만경대혁명학원,,졸업,334,김영철,"연도미상 만경대혁명학원, 김일성군사종합대학 졸업",,모스크바고급당학교,특수학교,러시아,year_모스크바고급당학교_특수학교_러시아
김영철a,연도미상,김일성군사종합대학교,,졸업,334,김영철,"연도미상 만경대혁명학원, 김일성군사종합대학 졸업",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김영철a,연도미상,김일성군사종합대학교,,졸업,334,김영철,"연도미상 만경대혁명학원, 김일성군사종합대학 졸업",,모스크바고급당학교,특수학교,러시아,year_모스크바고급당학교_특수학교_러시아
김영춘,연도미상,김일성군사종합대학교,,졸업,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,김일성군사종합대학교,대학교,북한,year_김일성군사종합대학교_대학교_북한
김영춘,연도미상,김일성군사종합대학교,,졸업,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김영춘,연도미상,김일성군사종합대학교,,졸업,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,푸룬제아카데미,특수학교,러시아,year_푸룬제아카데미_특수학교_러시아
김영춘,연도미상,만경대혁명학원,,미상,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,김일성군사종합대학교,대학교,북한,year_김일성군사종합대학교_대학교_북한
김영춘,연도미상,만경대혁명학원,,미상,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김영춘,연도미상,만경대혁명학원,,미상,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,푸룬제아카데미,특수학교,러시아,year_푸룬제아카데미_특수학교_러시아
김영춘,연도미상,소련 푸른제 군사대학,,미상,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,김일성군사종합대학교,대학교,북한,year_김일성군사종합대학교_대학교_북한
김영춘,연도미상,소련 푸른제 군사대학,,미상,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김영춘,연도미상,소련 푸른제 군사대학,,미상,432,김영춘,"연도미상 김일성군사종합대학, 만경대혁명학원, 소련 푸룬제아카데미 졸업",,푸룬제아카데미,특수학교,러시아,year_푸룬제아카데미_특수학교_러시아
김완수a,연도미상,김일성종합대학,,미상,320,김완수,연도미상 김일성종합대학,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김용순,1954 ~ 1956,모스크바대학교,,미상,319,김용순,1948.～54. 김일성종합대학,1948,김일성종합대학교,대학교,북한,1948_김일성종합대학교_대학교_북한
김용순,1954 ~ 1956,모스크바대학교,,미상,319,김용순,1954.～56. 소련 모스크바대학,1954,모스크바대학교,대학교,러시아,1954_모스크바대학교_대학교_러시아
김용순,1949 ~ 1954,김일성종합대학,,미상,319,김용순,1948.～54. 김일성종합대학,1948,김일성종합대학교,대학교,북한,1948_김일성종합대학교_대학교_북한
김용순,1949 ~ 1954,김일성종합대학,,미상,319,김용순,1954.～56. 소련 모스크바대학,1954,모스크바대학교,대학교,러시아,1954_모스크바대학교_대학교_러시아
